ndc_clean,shape,colors,imprint,size_mm
00071101868,CAPSULE,"ORANGE, WHITE",Pfizer;PGN;300,22
00071101468,CAPSULE,"WHITE, ORANGE",Pfizer;PGN;75,14
00071101768,CAPSULE,ORANGE,Pfizer;PGN;200,19
00149000705,CAPSULE,WHITE,MACRODANTIN;25;mg;0149;0007,14
00071101568,CAPSULE,ORANGE,Pfizer;PGN;100,16
00071101368,CAPSULE,"WHITE, BLACK",Pfizer;PGN;50,16
00071101968,CAPSULE,"ORANGE, WHITE",Pfizer;PGN;225,19
24090047388,CAPSULE,"BLUE, TURQUOISE",INDERAL;LA;120,18
60258018601,CAPSULE,BROWN,CPC;2103,19
00074964290,CAPSULE,"RED, YELLOW",a;45,16
42865010002,CAPSULE,WHITE,EURAND;5,14
16110025904,CAPSULE,"BROWN, YELLOW",MONODOX;100;M;259,19
00143337001,CAPSULE,BLUE,West;ward;Flurazepam;30,19
00143336701,CAPSULE,"BLUE, WHITE",West;ward;Flurazepam;15,18
16714066301,CAPSULE,ORANGE,D;04,22
00049396060,CAPSULE,"BLUE, WHITE",PFIZER;396;PFIZER;396,14
00009519002,CAPSULE,GREEN,2,14
00009519102,CAPSULE,BLUE,4,16
65483070210,CAPSULE,"GRAY, ORANGE",ENTOCORT;EC;3;mg,20
00078032444,CAPSULE,ORANGE,EXELON;3;mg,18
00049398060,CAPSULE,WHITE,PFIZER;398;PFIZER;398,16
00049397060,CAPSULE,BLUE,PFIZER;397;PFIZER;397,14
00023935007,CAPSULE,"ORANGE, WHITE",SAN;60,20
00093737001,CAPSULE,WHITE,93;7370;93;7370,19
00093737101,CAPSULE,"ORANGE, WHITE",TEVA;7371,19
00093737201,CAPSULE,"PINK, WHITE",TEVA;7372,19
00093737301,CAPSULE,BLUE,TEVA;7373,19
00093314501,CAPSULE,"GRAY, RED",TEVA;3145,18
00093314701,CAPSULE,RED,TEVA;3147,22
00093310701,CAPSULE,"BROWN, WHITE",TEVA;3107,18
00093310953,CAPSULE,WHITE,TEVA;3109,22
00173080961,CAPSULE,BROWN,GS;7CZ,23
00007337061,CAPSULE,"WHITE, GREEN",GSK;Coreg;CR;10;mg,14
00007337161,CAPSULE,"WHITE, YELLOW",GSK;Coreg;CR;20;mg,16
00007365022,CAPSULE,"RED, WHITE",DYAZIDE;SB;DYAZIDE;SB,15
00145009025,CAPSULE,"BROWN, WHITE",A;10;mg,14
00145009125,CAPSULE,"BROWN, YELLOW",A;25;mg,19
00145381703,CAPSULE,YELLOW,A;17;5;mg;A;17;5;mg,18
00173099155,CAPSULE,BLUE,Wellcome;ZOVIRAX;200,19
00173079001,CAPSULE,"GRAY, WHITE",80;InnoPran;XL;Reliant,16
00173079101,CAPSULE,"GRAY, WHITE",120;InnoPran;XL;Reliant,18
00173082418,CAPSULE,WHITE,GS;F1Y;325,22
00007420511,CAPSULE,WHITE,HYCAMTIN;0.25;mg,18
00007420711,CAPSULE,PINK,HYCAMTIN;1;mg,18
00228206710,CAPSULE,PINK,R;067,14
39822020501,CAPSULE,WHITE,PAN;5,14
00781281001,CAPSULE,WHITE,GG;506;GG;506,14
00186502031,CAPSULE,PURPLE,NEXIUM;20mg,14
00185064401,CAPSULE,"GRAY, YELLOW",E;882;E;882,16
00185525401,CAPSULE,"BLACK, WHITE",E;5254;E;5254,19
54092018981,CAPSULE,"GREEN, BLUE",S429;250;mg;2010,21
54092019112,CAPSULE,BLUE,S429;500;mg,25
00591321060,CAPSULE,BROWN,WATSON;3210;WATSON;3210,18
00591321160,CAPSULE,BROWN,WATSON;3211;WATSON3211,18
53014040410,CAPSULE,"GREEN, WHITE",404;SEMPREX-D,16
00777310502,CAPSULE,"YELLOW, GREEN",DISTA;3105;PROZAC;20;mg,16
52544015230,CAPSULE,WHITE,WATSON;152;8;mg,19
